arabic_word,english_word,source_id,confidence
المدافن,Al-Madafin,50.0,high
المذاليع,Al-Madhali',51.0,high
المحطه,Al-Mahatta,52.0,high
المجزع,Al-Majza',53.0,high
المناقد,Al-Manaqid,54.0,high
المرازم,Al-Marazim,55.0,high
النجارة,An-Najara,56.0,high
الرجاح,Ar-Rajah,57.0,high
الركيب,Ar-Rakib,58.0,high
الروضة,Ar-Rawda,59.0,high
خرشبة,Kharshabah,60.0,high
العفيرة,Al-Afirah,61.0,high
الغبيل,Al-Ghabil,61.0,high
النزيهه,Al-Nazihah,62.0,high
القريعاء,Al-Qari'ah,63.0,high
رحنق,Rahnaq,64.0,high
العقمه,Al-Aqmah,65.0,high
العشه,Al-Ashah,65.0,high
الدرابي,Al-Darabi,66.0,high
الضاحيه,Al-dhahyah,67.0,high
الغله,Al-Ghalah,68.0,high
الحنه,Al-Hanna,69.0,high
الجروبه,Al-Jarubah,70.0,high
الجوني,Al-Jawni,71.0,high
الجريبه,Al-Juraybah,72.0,high
المضبايه,Al-Madhbayah,73.0,high
المغلاء,Al-Maghla,74.0,high
الملحه,Al-Malhah,75.0,high
المقصاب,Al-Maqsab,76.0,high
المزحاجه,Al-Mazhajah,77.0,high
المضيلع,Al-Mudayli',78.0,high
الملاقي,Al-Mulaqi,79.0,high
المقظظ,Al-Muqadhth,80.0,high
المريريه,Al-Murairiyah,81.0,high
القليعه,Al-Qali'ah,82.0,high
القرية,Al-qariah,83.0,high
القرين,Al-Qarin,84.0,high
القشيق,Al-Qashiq,85.0,high
الصراره,Al-Sarrah,86.0,high
الشمليه,Al-Shamaliyah,87.0,high
الشرج,Al-Sharj,88.0,high
حصب,Hasab,89.0,high
الحويج,Al-Huwayj,89.0,high
هيجة,Hayjah,90.0,high
جبح,Jabh,90.0,high
العقه,Al-Aqqa,91.0,high
الاقروض,Al-Aqrouth,92.0,high
العدنين,Al-Adnin,92.0,high
الجباه,Al-Jabah,93.0,high
المريقيب,Al-Muraikib,94.0,high
النجد,Al-Najd,95.0,high
العراعر,Al-Ara'ir,96.0,high
نجد,Najd,98.0,high
صوارحين,Sawarihin,99.0,high
المناخ,Al-Manakh,101.0,high
الطير,Al-Tayr,102.0,high
دويد,Duwaid,103.0,high
البيضاء,Al-Bayda',105.0,high
الدار,Al-Dar,106.0,high
الخراب,Al-Kharab,108.0,high
المروى,Al-Marwa,109.0,high
الميدام,Al-Midam,110.0,high
المحيصب,Al-Muhaysib,111.0,high
المناوب,Al-Munawwab,112.0,high
المشرفه,Al-Mushrifa,113.0,high
النبيع,Al-Nabi',114.0,high
السفلى,Al-Sufla,115.0,high
القضاة,Al-Qudat,116.0,high
ضبيره,Dhabira,117.0,high
هجم,Hajam,118.0,high
العجل,Al-'Ajel,118.0,high
عباد,Abbad,119.0,high
حصيب,Hasib,120.0,high
ياسين,Yasin,120.0,high
قرف,Qarf,121.0,high
الهاديه,Al-Hadiya,121.0,high
شعب,Sha'b,122.0,high
الظافر,Al-Dhafir,122.0,high
العرينه,Al-Arina,123.0,high
العريش,Al-Arish,124.0,high
العضيباء,Al-Adhiba,125.0,high
البراده,Al-Baradah,126.0,high
الدراغمه,Al-Daraghmah,127.0,high
الذنبه,Al-Dhanbah,128.0,high
الضويحه,Al-Dhuwayhah,129.0,high
الحرزه,Al-Harzah,130.0,high
الكاذيه,Al-Kadhiyah,131.0,high
المفرق,Al-Mafraq,132.0,high
المحاكله,Al-Mahaklah,133.0,high
المهرهره,Al-Mahrarah,134.0,high
المجش,Al-Majash,135.0,high
المخيشيقة,Al-Makhishiqah,136.0,high
المعيطه,Al-Mu'ayta,137.0,high
المنقد,Al-Munqad,138.0,high
الرشيح,Al-Rashih,139.0,high
الاعلى,Al-A'la,139.0,high
الاسفل,Al-Asfal,140.0,high
الرونه,Al-Rawnah,141.0,high
الروقين,Al-Ruqayn,142.0,high
السبله,Al-Sabla,143.0,high
التماره,Al-Tamarah,145.0,high
العشيرة,Al-Ashira,146.0,high
المتاهلين,Al-Mutahilin,147.0,high
عوده,Awda,148.0,high
حرثه,Hartha,149.0,high
الاتيمه,Al-Atima,150.0,high
العرمه,Al-Armah,150.0,high
البرح,Al-Barh,151.0,high
الاحمر,Al-Ahmar,151.0,high
الدوش,Al-Doush,152.0,high
الهداله,Al-Hadalah,153.0,high
الجاهلي,Al-Jahili,154.0,high
الكنايه,Al-Kinaya,155.0,high
القحاره,Al-Qahara,156.0,high
رين,Rin,157.0,high
الازيود,Al-Azyoud,158.0,high
العرج,Al-Arj,158.0,high
العشروقة,Al-Ashruka,159.0,high
الضباية,Al-Dhabaya,160.0,high
الحدقة,Al-Hadqa,161.0,high
الكدام,Al-Kadam,162.0,high
المعاقم,Al-Ma'aqim,163.0,high
المجرانيه,Al-Majraniya,164.0,high
المهاجمة,Al-Muhajima,165.0,high
الروينة,Al-Ruwayna,166.0,high
السليع,Al-Sali',167.0,high
الشعيب,Al-Shu'ayb,168.0,high
الشويكة,Al-Shuwayka,169.0,high
الزريقاء,Al-Zariqa',170.0,high
الراعي,Al-Ra'i,171.0,high
محجر,Mahjar,172.0,high
راعى,Ra'i,172.0,high
البحيح,Al-Bahih,173.0,high
البليلي,Al-Bulaili,174.0,high
العكش,Al-Akash,175.0,high
الدربوش,Al-Darboush,176.0,high
النقيرة,Al-Nuqayra,177.0,high
الساحرة,Al-Sahira,178.0,high
عزان,Azzan,179.0,high
مكان,Makan,180.0,high
الحمير,Al-Hamir,180.0,high
قواح,Qawah,181.0,high
الدييمه,Al-Daymah,182.0,high
البطاح,Al-Bataah,182.0,high
جهلان,Jahlan,183.0,high
الظهر,Al-Dhahr,184.0,high
الحدادين,Al-Haddadin,184.0,high
المحجوره,Al-Mahjoura,190.0,high
نعمان,Nu'man,191.0,high
الضيجه,Al-Dhayjah,192.0,high
العلبه,Al-'Albah,192.0,high
العوده,Al-Awdah,193.0,high
المشاجب,Al-Mashajeb,194.0,high
النويدره,Al-Nuwaidrah,196.0,high
الراحه,Al-Raha,197.0,high
الزريعي,Al-Zurai'i,198.0,high
العكش,Al-'Akash,199.0,high
الذيب,Al-Dhib,200.0,high
العريقه,Al-Araiqa,204.0,high
العواس,Al-Awas,205.0,high
العواطف,Al-Awatif,206.0,high
الغيبر,Al-Ghaybar,207.0,high
الحدبه,Al-Hadba,208.0,high
الحنجره,Al-Hanjara,209.0,high
الحقافر,Al-Haqafir,210.0,high
الحوص,Al-Hawas,211.0,high
الجورهه,Al-Jawra,212.0,high
القديمة,Al-Qadima,213.0,high
الطمير,Al-Tamir,214.0,high
رشاح,Rashah,215.0,high
سلوين,Salwin,216.0,high
الفحيشيه,Al-Fahishiya,217.0,high
الغريف,Al-Gharif,219.0,high
المجزره,Al-Majzarah,220.0,high
المشيعير,Al-Mushay'ir,221.0,high
حبوة,Habwah,222.0,high
الموينس,Al-Muwaynis,222.0,high
طره,Tarah,223.0,high
الجويعي,Al-Juway'i,223.0,high
طرة,Tarrah,224.0,high
الجعيره,Al-Ja'irah,224.0,high
الغرافي,Al-Gharrafi,225.0,high
العداين,Al-Adain,226.0,high
الاعقاص,Al-Aqas,227.0,medium
البوالع,Al-Bawali,228.0,high
الدخل,Al-Dakhil,229.0,high
الفاترة,Al-Fatira,230.0,high
الحبشة,Al-Habasha,231.0,high
الحدبة,Al-Hadba,232.0,high
الحياطة,Al-Hayata,234.0,high
الجدير,Al-Jadir,235.0,high
الخيريان,Al-Khairiyan,236.0,high
القشب,Al-Qashb,238.0,high
الشبيقات,Al-Shabiqat,239.0,high
اليمنة,Al-Yamana,240.0,high
الزقيرية,Al-Zaqiriya,241.0,high
دومة,Dumat,242.0,high
الصبيحي,Al-Subaihi,242.0,high
جبل,Jabal,243.0,high
عكى,Aka,243.0,high
جاعمة,Ja'ma,244.0,high
الاكحل,Al-Akhal,245.0,high
العقبه,Al-Aqaba,246.0,high
العقيقين,Al-Aqiqayn,247.0,high
العرجوش,Al-Arjush,248.0,high
العصفوريه,Al-Asfuriya,249.0,high
العزيبه,Al-Aziba,250.0,high
البكره,Al-Bakrah,251.0,high
الفقوة,Al-Faqwa,253.0,high
الحفيره,Al-Hafira,254.0,high
الحجفه,Al-Hajfah,255.0,high
الحثن,Al-Hathn,257.0,high
الحصن,Al-Hisn,258.0,high
الجنه,Al-Janna,259.0,high
الخومله,Al-Khumla,260.0,high
المورخ,Al-Murakh,261.0,high
الشاكرية,Al-Shakriya,262.0,high
القشايب,Al-Qashayib,263.0,high
الرادع,Al-Rad',264.0,high
الرواع,Al-Rawaa,265.0,high
الصفريه,Al-Safriya,266.0,high
الشجنه,Al-Shajna,267.0,high
الشعيب,Al-Shuaib,268.0,high
عراصو,Arasu,,high
عريدان,Aridan,270.0,high
السلام,Al-Salam,272.0,high
حيان,Hayan,273.0,high
خبخب,Khabkhab,275.0,high
شط,Shat,276.0,high
الحامي,Al-Hami,276.0,high
الغوبقه,Al-Ghubaqah,278.0,high
الاطوار,Al-Atwar,278.0,high
الحقيبه,Al-Haqibah,279.0,high
الهندى,Al-Hindi,280.0,high
الجنيجره,Al-Junayjirah,281.0,high
المعلم,Al-Mu'allim,282.0,high
المنيقد,Al-Munayqid,283.0,high
القطاطه,Al-Qatatah,284.0,high
الردع,Al-Rad',285.0,high
النقود,Al-Nuqud,286.0,high
الحد,Al-Had,287.0,high
العقوره,Al-Aqurah,288.0,high
الهيجه,Al-Hayjah,289.0,high
الحجير,Al-Hujayr,290.0,high
الهليبه,Al-Hulaybah,291.0,high
المراتمه,Al-Maratimah,293.0,high
القحقاح,Al-Qahqah,294.0,high
الصباريه,Al-Sabariyyah,295.0,high
عقار,Aqar,296.0,high
الحدابيه,Al-Hadabiyah,297.0,high
الحدبه,Al-Hadbah,297.0,high
بلد,Balad,299.0,high
الساده,Al-Sadah,299.0,high
الحجافيه,Al-Hajafiyah,300.0,high
العيصم,Al-Aysam,300.0,high
الدحيم,Al-Duhaym,301.0,high
البعيصي,Al-Ba'isi,303.0,high
الدامر,Al-Damir,304.0,high
الدبيزل,Al-Dubayzil,305.0,high
الحداد,Al-Haddad,306.0,high
قراد,Qarad,307.0,high
الحجاريه,Al-Hajariyah,308.0,high
الماجليه,Al-Majliya,309.0,high
المعترض,Al-Mu'tarid,310.0,high
الهاملي,Al-Hamli,311.0,high
العميريه,Al-Amiriyah,312.0,high
الدربنه,Al-Darbana,313.0,high
الحصينه,Al-Husaynah,315.0,high
الجبيل,Al-Jubayl,316.0,high
الكدره,Al-Kadrah,317.0,high
المقرعي,Al-Muqra'i,318.0,high
السلطنه,Al-Sultanah,320.0,high
السوهره,Al-Suwahrah,321.0,high
ذياب,Dhiab,323.0,high
الحقل,Al-Haqal,325.0,high
العشة,Al-Ashah,326.0,high
الحريقيه,Al-Hariqiya,328.0,high
قروش,Qurosh,329.0,high
الحرثه,Al-Harthah,330.0,high
المحور,Al-Mahwar,331.0,high
صبر,Sabr,332.0,high
الحصيب,Al-Hasib,333.0,high
النشه,Al-Nashah,334.0,high
الحياجي,Al-Hayaji,335.0,high
البياضيه,Al-Bayadiyah,336.0,high
الظهره,Al-Dhahra,337.0,high
الحبوه,Al-Habwa,338.0,high
الحمرة,Al-Hamra,339.0,high
الجراده,Al-Jaradah,340.0,high
المقضي,Al-Maqdi,341.0,high
المعطاب,Al-Ma'tab,342.0,high
القاصب,Al-Qasib,343.0,high
السيال,Al-Sayyal,344.0,high
الحيمه,Al-Haymah,346.0,high
البريحان,Al-Buraihan,347.0,high
الدلعمه,Al-Dal'amah,348.0,high
المجاربة,Al-Majaribah,349.0,high
الحييمة,Al-Haymah,350.0,high
المبياضه,Al-Mubayadah,350.0,high
الشوصره,Al-Shawsirah,351.0,high
الشقيره,Al-Shuqayrah,352.0,high
عقبه,Aqabah,353.0,high
ضورين,Dhurin,354.0,high
الماس,Al-Mas,355.0,high
هوب,Hub,356.0,high
مجلي,Majli,356.0,high
الحجج,Al-Hujaj,357.0,high
جرجوح,Jarjuh,358.0,high
الحجيره,Al-Hujayrah,359.0,high
الهيوج,Al-Hayyuj,359.0,high
المهجم,Al-Mahjam,360.0,high
المحكمه,Al-Mahkama,362.0,high
المصافره,Al-Musafirah,363.0,high
الهليبي,Al-Hulaibi,364.0,high
الجريب,Al-Jarib,365.0,high
البزيه,Al-Baziyah,367.0,high
الشبع,Al-Shaba,368.0,high
النار,Al-Nar,369.0,high
طوره,Turah,370.0,high
طوربصير,Turbasir,371.0,high
الكبير,Al-Kabir,372.0,high
الجروبة,Al-Jarouba,373.0,high
الدابوليا,Al-Daboulia,374.0,high
الدويرة,Al-Duwaira,375.0,high
الصويلح,Al-Suwailih,376.0,high
الجبال,Al-Jibal,377.0,high
الصرادح,Al-Saradih,378.0,high
الجبيه,Al-Jubayyah,379.0,high
الحجيج,al-Hajjaj,380.0,high
الحنيني,al-Hunayni,381.0,high
الجويح,al-Juwayh,382.0,high
الكاحب,al-Kahib,384.0,high
المهيوب,al-Mahyoub,385.0,high
المجزع,al-Majza',386.0,high
المكيمل,al-Mukaymil,387.0,high
القرف,Al-Qarf,388.0,high
القصبه,al-Qasbah,389.0,high
الوسيطان,al-Wasitayn,390.0,high
خدية,Khadiyah,391.0,high
الجمعة,Al-Jum'ah,392.0,high
العنصبة,Al-Ansaba,393.0,high
البرادقة,Al-Baradiqa,394.0,high
الغاوى,Al-Ghawy,395.0,high
الخنيق,Al-Khaniq,396.0,high
المحل,Al-Mahal,397.0,high
الرمادة,Al-Ramada,398.0,high
الصدة,Al-Sadda,399.0,high
يالول,Yalul,400.0,high
الكدحه,Al-Kadha,401.0,high
العبدلي,Al-Abdali,402.0,high
العريق,Al-Areeq,403.0,high
الحيدريه,Al-Haydariya,405.0,high
الجديد,Al-Jadeed,406.0,high
الجافر,Al-Jafir,407.0,high
الكداح,Al-Kaddah,409.0,high
المعقر,Al-Ma'qar,410.0,high
السفيدة,Al-Safida,411.0,high
الوطن,Al-Watan,412.0,high
بئر,Bir,413.0,high
عقيل,Aqeel,413.0,high
حنيش,Hanish,414.0,high
حدبه,Hadbah,415.0,high
نقيط,Naqit,415.0,high
الجديدة,Al-Jadidah,416.0,high
المشقر,Al-Mushaqqar,417.0,high
طنح,Tanh,418.0,high
الكديحة,Al-Kadihah,419.0,high
الباقرية,Al-Baqiriyah,420.0,high
الحسنيه,Al-Hasaniyah,421.0,high
السماسم,Al-Samasim,422.0,high
استرح,Istarh,424.0,high
الكدمه,Al-Kadmah,425.0,high
العلقميه,Al-Alqamiyah,426.0,high
الحوجب,Al-Hawjab,428.0,high
المقالد,Al-Maqalid,429.0,high
القوز,Al-Qawz,430.0,high
الصيره,Al-Sirah,432.0,high
الزوين,Al-Zuwain,433.0,high
قرى,Qura,434.0,high
الحاج,Al-Hajj,434.0,high
شنص,Shans,435.0,high
وادى,Wadi,436.0,high
الاجن,Al-Ajan,437.0,high
الحمرور,Al-Hamrur,438.0,high
الكربة,Al-Karbah,439.0,high
القر,Al-Qar,440.0,high
الزيديه,Al-Zaidiyah,442.0,high
الزوه,Al-Zawah,443.0,high
الخباه,Al-Khabah,444.0,high
الخضراء,Al-Khadra,445.0,high
الخيفه,al-Khaifah,446.0,high
دهل,Dahl,447.0,high
الديمه,al-Dima,447.0,high
الخنهه,Al-Khanah,448.0,high
العقير,Al-Aqir,449.0,high
القلعه,Al-Qal'ah,450.0,high
الرحب,Al-Rahab,451.0,high
الكويحه,Al-Kuwayhah,452.0,high
الرماد,Al-Ramad,452.0,high
الاجراف,Al-Ajraf,453.0,high
الداهره,Al-Dahira,454.0,high
الذنيبه,Al-Dhanibah,455.0,high
الذراع,Al-Dhra',456.0,high
الحضين,Al-Hadhin,457.0,high
الحماريه,Al-Hamariya,458.0,high
الجبانة,Al-Jabana,459.0,high
المبراع,Al-Mabra',460.0,high
القحيفة,Al-Qahifah,461.0,high
القشيبه,Al-Qashibah,462.0,high
السقايه,Al-Saqaya,463.0,high
الشريف,Al-Sharif,464.0,high
شقير,Shuqayr,465.0,high
المعامرة,Al-Ma'amara,466.0,high
العتاة,Al-'Ata,466.0,high
الذنبة,Al-Dhanba,467.0,high
الجربه,Al-Jarba,468.0,high
الشط,Al-Shatt,470.0,high
الزبيرة,Al-Zubayra,471.0,high
المعامرة,Al-Ma'amrah,472.0,high
الحفيظة,Al-Hafizah,472.0,high
الحفره,Al-Hafra,473.0,high
الخنيف,Al-Khanif,474.0,high
الساحلي,Al-Sahili,475.0,high
المبذل,Al-Mabdhil,476.0,high
الجعاديه,Al-Ja'adiyah,477.0,high
المسيحه,Al-Masihah,478.0,high
المتون,Al-Mutun,479.0,high
النقاحه,Al-Naqahah,480.0,high
القحفه,Al-Qahfah,481.0,high
المغدر,Al-Maghdar,482.0,high
عركبه,Arkaba,485.0,high
مالك,Malik,486.0,high
زبوره,Zabura,487.0,high
الملك,Al-Malik,488.0,high
الخبت,Al-Khabt,490.0,high
المقلب,Al-Maqlab,491.0,high
الابراح,Al-Abrah,492.0,high
الفنخه,Al-Fankhah,494.0,high
الحويص,Al-Huways,495.0,high
الكدن,Al-Kadan,496.0,high
الخويفه,Al-Khuwayfah,497.0,high
المدروك,Al-Madrouk,498.0,high
الركيبه,Al-Rukaybah,499.0,high
الصناعه,Al-Sina'ah,500.0,high
الوادي,Al-Wadi,501.0,high
برح,Barh,502.0,high
العميره,Al-Amirah,502.0,high
عقاب,Uqab,503.0,high
المعصرة,Al-Ma'sara,504.0,high
البيت,Al-Bayt,506.0,high
الذاري,Al-Dhari,508.0,high
المحكمة,Al-Mahkama,509.0,high
المطرح,Al-Matrah,510.0,high
المزانده,Al-Mazanda,511.0,high
الضاربه,Al-Daribah,512.0,high
الفاحم,Al-Fahim,513.0,high
الحجريه,Al-Hujariya,514.0,high
المحالب,Al-Mahalib,516.0,high
المناصب,Al-Manasib,517.0,high
المرقاب,Al-Mirqab,518.0,high
الناصي,Al-Nasi,521.0,high
الزحط,Al-Zaht,522.0,high
دمنة,Damnat,523.0,high
الشرف,Al-Sharaf,523.0,high
جيهلان,Jihlan,524.0,high
ضراعه,Dhara'ah,525.0,high
حقر,Haqr,526.0,high
جرابه,Jarabah,527.0,high
خوصانه,Khawsana,528.0,high
الوحشين,Al-Wahshayn,529.0,high
الميدان,Al-Midan,530.0,high
شعب,Shaab,532.0,high
المخا,Al-Mukha,533.0,high
عبد,Abd,533.0,high
القادر,Al-Qadir,533.0,high
ابو,Abu,534.0,high
اسماعيل,Isma'il,534.0,high
العمودي,Al-Amudi,535.0,high
العروك,Al-Arouk,536.0,high
الحالي,Al-Hali,537.0,high
الجعدي,Al-Ja'di,538.0,high
المدينة,Al-Madinah,539.0,high
الميناء,Al-Mina',540.0,high
المغيني,Al-Mughini,541.0,high
القاهرة,Al-Qahirah,542.0,high
الشاذلي,Al-Shadhili,543.0,high
السويس,Al-Suways,544.0,high
المقيصع,Al-Muqaysi',545.0,high
البهيشة,Al-Bahisha,545.0,high
البقاصة,Al-Baqasa,546.0,high
الفريخه,Al-Farikha,547.0,high
الغوشه,Al-Ghusha,548.0,high
الحفيظه,Al-Hafizah,549.0,high
الهطيط,Al-Hutayt,551.0,high
العراقي,Al-Iraqi,552.0,high
المعسار,Al-Ma'sar,553.0,high
المطهف,Al-Mutahhaf,554.0,high
القشوبع,Al-Qashub',555.0,high
القواسمه,Al-Qawasima,556.0,high
القربة,Al-Qurba,557.0,high
الرجيم,Al-Rajim,558.0,high
الشعب,Al-Sha'b,559.0,high
الشجيبة,Al-Shujayba,560.0,high
السريبه,Al-Suraybah,561.0,high
الطهبله,Al-Tahbalah,562.0,high
الطنيحه,Al-Taniha,563.0,high
الموسنه,Al-Musinah,565.0,high
الحميده,Al-Hamidah,566.0,high
القطيعه,Al-Qati'ah,567.0,high
الطاهري,Al-Tahir,568.0,high
العنبى,Al-Anabi,569.0,high
حسى,Hasi,572.0,high
الحراز,Al-Haraz,573.0,high
الغريماء,Al-Gharimah,574.0,high
النوازل,Al-Nawazil,575.0,high
العكده,Al-Akdah,575.0,high
الاملاك,Al-Amlak,577.0,high
العروض,Al-Arud,578.0,high
الداخله,Al-Dakhilah,579.0,high
الحروره,Al-Harura,580.0,high
حصه,Hissa,580.0,high
الهنيميه,Al-Hunaymiya,581.0,high
الخرائب,Al-Khara'ib,582.0,high
الملعب,Al-Mal'ab,583.0,high
المثعوب,Al-Math'ub,584.0,high
المصلاب,Al-Musallab,585.0,high
النقيل,Al-Naqil,586.0,high
القفاعية,Al-Qafa'iya,587.0,high
الصلعي,Al-Sal'i,590.0,high
الشعوب,Al-Shu'ub,591.0,high
الزريبه,Al-Zariba,592.0,high
اوجافه,Awjafa,593.0,high
ذي,Dhi,594.0,high
خير,Khayr,594.0,high
حازمي,Hazmi,595.0,high
كفائه,Kafa'a,596.0,high
الجرف,Al-Jarf,597.0,high
قسيم,Qasim,598.0,high
الحجاجيه,Al-Hajjajiyah,601.0,high
المعيعه,Al-Mu'ayyah,602.0,high
المقطرن,Al-Muqatran,603.0,high
الطريره,Al-Tarirah,604.0,high
القحيزه,Al-Qahizah,605.0,high
الاعصره,Al-A'sarah,605.0,high
الجبه,Al-Jabhah,607.0,high
المضاحي,Al-Madhahi,609.0,high
الشعب,Al-Sha'ab,610.0,high
حاضيه,Hadhiya,611.0,high
حوجله,Hawjalah,612.0,high
نمر,Nimr,613.0,high
القاعده,Al-Qa'idah,614.0,high
المحرقه,Al-Muharraqah,615.0,high
النوبة,Al-Nawbah,616.0,high
القطف,Al-Qatif,617.0,high
القمبرية,Al-Qambariyah,618.0,high
البرحه,Al-Barhah,619.0,high
القشعه,Al-Qash'ah,622.0,high
الاسبال,Al-Asbal,624.0,high
الكبب,Al-Kubab,625.0,high
الخرابه,Al-Kharaba,626.0,high
المحجر,Al-Mahjar,627.0,high
المقروضي,Al-Maqrudhi,628.0,high
المعطابه,Al-Ma'tabah,629.0,high
العليا,Al-Ulya,629.0,high
الموبره,Al-Mawbarah,630.0,high
المقره,Al-Muqrah,631.0,high
الرشحه,Al-Rashah,633.0,high
دعلج,Da'laj,634.0,high
قحفة,Qahfah,635.0,high
البير,Al-Bir,636.0,high
الرصد,Al-Rasd,637.0,high
زبيد,Zubayd,638.0,high
الاشراف,Al-Ashraf,640.0,high
المحيلبة,Al-Mahilba,641.0,high
القبع,Al-Qaba,642.0,high
القحاف,Al-Qahaf,643.0,high
الصرم,Al-Sarim,644.0,high
قراضه,Qaradha,645.0,high
سحر,Sahar,646.0,high
ذا,Tha,647.0,high
العبار,Al-Abar,647.0,high
البيحاني,Al-Bayhani,650.0,high
الحرزه,Al-Harza,652.0,high
التوبره,Al-Tawbara,657.0,high
رجحة,Rajhat,659.0,high
المسجد,Al-Masjid,659.0,high
رجحه,Rajhat,660.0,high
الطور,Al-Tour,660.0,high
الرباعنه,Al-Raba'nah,661.0,high
الغابره,Al-Ghabirah,661.0,high
الغارب,Al-Ghareb,662.0,high
المضابي,Al-Madhabi,663.0,high
المراون,Al-Marawin,665.0,high
المسوادة,Al-Maswadah,666.0,high
السويداء,Al-Suwaydah,667.0,high
التعبره,Al-Ta'abrah,668.0,high
الردف,Al-Radf,669.0,high
الحمره,Al-Hamrah,671.0,high
الجشيم,Al-Jashim,672.0,high
المهريق,Al-Mahriq,673.0,high
المنيهر,Al-Munayhir,675.0,high
النشيم,Al-Nashim,676.0,high
القطيف,Al-Qatif,677.0,high
الرحية,Al-Rahiyah,679.0,high
الروقنه,Al-Rawqnah,680.0,high
الشاقه,Al-Shaqa,681.0,high
بعشيره,Ba'shirah,682.0,high
الدور,Al-Dur,683.0,high
الحشور,Al-Hashur,684.0,high
حزام,Hizam,685.0,high
شرج,Sharj,686.0,high
الذئب,Al-Dhib,686.0,high
سدوح,Suduh,687.0,high
الرويعي,Al-Ruwa'i,688.0,high
الرجحه,Al-Rajha,689.0,high
الهشام,Al-Hasham,689.0,high
الرجحه,Al-Rajhah,690.0,high
الدبيله,Al-Dabilah,690.0,high
الهبيله,Al-Habilah,691.0,high
الهجينه,Al-Hajinah,692.0,high
المحابيل,Al-Mahabil,693.0,high
الرويس,Al-Ruways,694.0,high
دبيلة,Dabilat,695.0,high
الربوه,Al-Rabwa,695.0,high
تميم,Tamim,696.0,high
ثعوبه,Tha'uba,697.0,high
الرجمه,Al-Rajmah,698.0,high
الرباط,Al-Ribat,699.0,high
الركز,al-Rukz,700.0,high
العذير,Al-Adhir,701.0,high
الاعروق,al-'Aruq,702.0,high
المغربه,al-Maghriba,703.0,high
المزاحر,al-Mazahir,704.0,high
الزرائب,al-Zara'ib,705.0,high
عقمات,Aqamat,707.0,high
سويلم,Suwaylim,708.0,high
السفالية,Al-Safaliyah,710.0,high
البقين,Al-Baqin,710.0,high
البوق,Al-Buq,711.0,high
الجحافي,Al-Jahafi,713.0,high
المحاوي,Al-Mahawi,714.0,high
المراعنه,Al-Mara'inah,715.0,high
جهاد,Jihad,718.0,high
مراعنة,Mara'inah,719.0,high
الصنمه,Al-Sanmah,720.0,high
العراميه,Al-Aramiyah,720.0,high
الهجره,Al-Hijrah,722.0,high
الحصه,Al-Hisah,723.0,high
الخبيه,Al-Khabiyah,724.0,high
المسماره,Al-Masmarah,725.0,high
المنتصر,Al-Muntasir,726.0,high
القشيعه,Al-Qash'iyah,727.0,high
القشش,Al-Qashsh,728.0,high
الزنح,Al-Zanh,729.0,high
حارك,Harik,730.0,high
حريزه,Harizah,731.0,high
مكبر,Makbar,732.0,high
معوضه,Mu'awwah,733.0,high
هابة,Habah,734.0,high
الصويره,Al-Sawera,735.0,high
الشباب,Al-Shabab,755.0,high
الشبارة,Al-Shabara,756.0,high
العضيلة,Al-Adhila,756.0,high
العليلة,Al-Alila,757.0,high
العويضه,Al-Awidah,758.0,high
الفريعة,Al-Fari'ah,759.0,high
الحدابه,Al-Hadaba,760.0,high
